"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2020/21","Est.","Annual","858.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2020/21","Est.","Annual","4469.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2020/21","Est.","Annual","1010.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2020/21","Est.","Annual","1161.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2020/21","Est.","Annual","67.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2020/21","Est.","Annual","5715.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","1010.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Proj.","Annual","4415.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","920.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Proj.","Annual","1678.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Proj.","Annual","63.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Proj.","Annual","5940.00","1000 Metric Tons, Actual Weight","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","13.00","Years","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","11.10","Million Metric Tons","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","26.00","Years","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.00","Percent","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","42.10","Million Metric Tons","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.80","Percent","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".00","Million Metric Tons","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","6.00","Years","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.80","Million Metric Tons","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","33.00","Years","2021-10-12","12:00:00.0000000","2021","10"
"617","October 2021","Reliability of October Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","28.00","Percent","2021-10-12","12:00:00.0000000","2021","10"
