"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Est.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Est.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Est.","Annual","1789.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Est.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Est.","Annual","6180.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Proj.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Proj.","Annual","1503.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Proj.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Proj.","Annual","6000.00","1000 Metric Tons, Actual Weight","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","18.00","Years","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","11.70","Million Metric Tons","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","23.00","Years","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.30","Percent","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","40.60","Million Metric Tons","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.90","Percent","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual","1.00","Million Metric Tons","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","11.00","Years","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.10","Million Metric Tons","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","30.00","Years","2022-07-12","12:00:00.0000000","2022","7"
"626","July 2022","Reliability of July Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","27.00","Percent","2022-07-12","12:00:00.0000000","2022","7"
