"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2020/21","Est.","Annual","858.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2020/21","Est.","Annual","4420.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2020/21","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2020/21","Est.","Annual","1165.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2020/21","Est.","Annual","65.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2020/21","Est.","Annual","5715.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Proj.","Annual","4401.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","917.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Proj.","Annual","1777.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Proj.","Annual","63.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Proj.","Annual","5979.00","1000 Metric Tons, Actual Weight","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Reliability of January Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","12.00","Years","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Reliability of January Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","8.70","Million Metric Tons","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Reliability of January Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2022-01-12","12:00:00.0000000","2022","1"
"620","January 2022","Reliability of January Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.30","Percent","2022-01-12","12:00:00.0000000","2022","1"
