"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2020/21","Est.","Annual","858.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2020/21","Est.","Annual","4378.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2020/21","Est.","Annual","910.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2020/21","Est.","Annual","1499.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2020/21","Est.","Annual","105.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2020/21","Est.","Annual","5825.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","910.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Proj.","Annual","4370.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","910.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Proj.","Annual","1524.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Proj.","Annual","85.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Proj.","Annual","5809.00","1000 Metric Tons, Actual Weight","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","19.00","Years","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","12.50","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","21.00","Years","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.50","Percent","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","32.80","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.10","Percent","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".50","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","13.00","Years","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","14.50","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","31.10","Percent","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","145.00","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","18.30","Percent","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".00","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","13.00","Years","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.50","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","22.80","Percent","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","20.80","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.40","Percent","2021-05-12","12:00:00.0000000","2021","5"
"612","May 2021","Reliability of May Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".30","Million Metric Tons","2021-05-12","12:00:00.0000000","2021","5"
