"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2020/21","Est.","Annual","858.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2020/21","Est.","Annual","4420.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2020/21","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2020/21","Est.","Annual","1165.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2020/21","Est.","Annual","65.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2020/21","Est.","Annual","5715.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","1053.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Proj.","Annual","4401.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","917.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Proj.","Annual","1777.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Proj.","Annual","63.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Proj.","Annual","5979.00","1000 Metric Tons, Actual Weight","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","9.70","Million Metric Tons","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","26.00","Years","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.50","Percent","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","36.90","Million Metric Tons","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.50","Percent","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".30","Million Metric Tons","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","8.00","Years","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","13.50","Million Metric Tons","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","32.00","Years","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","24.30","Percent","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","143.90","Million Metric Tons","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","14.30","Percent","2021-12-09","12:00:00.0000000","2021","12"
"619","December 2021","Reliability of December Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2021-12-09","12:00:00.0000000","2021","12"
