"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2020/21","Est.","Annual","858.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2020/21","Est.","Annual","4420.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2020/21","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2020/21","Est.","Annual","1165.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2020/21","Est.","Annual","65.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2020/21","Est.","Annual","5715.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Proj.","Annual","4412.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Proj.","Annual","919.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Proj.","Annual","1751.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Proj.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
"622","March 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Proj.","Annual","5979.00","1000 Metric Tons, Actual Weight","2022-03-09","12:00:00.0000000","2022","3"
