"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Est.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Est.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Est.","Annual","1817.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Est.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Est.","Annual","6208.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Proj.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Proj.","Annual","1503.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Proj.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Proj.","Annual","6000.00","1000 Metric Tons, Actual Weight","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","20.00","Years","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","11.80","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","20.00","Years","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.40","Percent","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","38.20","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.00","Percent","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","10.00","Years","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.80","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","30.00","Years","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","29.20","Percent","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","155.20","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","17.20","Percent","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".10","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.80","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","26.00","Years","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","22.70","Percent","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","19.20","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.40","Percent","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".50","Million Metric Tons","2022-06-10","12:00:00.0000000","2022","6"
"625","June 2022","Reliability of June Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","19.00","Years","2022-06-10","12:00:00.0000000","2022","6"
